NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000434241,MG,36,F,3,505.7,596.5,560.4,500.1,680,2,C,A
160000434242,BA,23,F,3,,,,,,4,E,B
160000434243,CE,16,M,3,610.8,729.4,654.2,784.9,840,3,E,B
160000434244,MT,34,M,4,430.8,504.2,472.2,505.2,400,6,E,B
160000434245,MG,32,M,3,,,,,,2,E,A
160000434246,SP,18,F,1,499.4,559,589.9,437.2,520,4,G,B
160000434247,PB,31,M,0,527.5,622.5,640.9,640.8,600,3,L,B
160000434248,MG,19,M,1,,,,,,2,C,B
160000434249,SP,23,F,1,,,,,,3,F,B
160008622086,MG,28,M,3,662.9,713.4,620.6,691,760,3,F,B
160000437570,RS,17,F,1,647.2,645.1,643.6,624,780,3,O,B
160000437571,SP,25,F,1,,,,,,4,C,B
160000437572,CE,35,M,1,,,,,,4,D,B
160000437573,CE,18,M,3,582,659.6,538.1,581.8,880,4,B,B
160000437574,SP,30,F,1,,,,,,3,D,A
160000437575,PA,21,M,3,433.9,512,552.8,529.9,500,5,D,A
160000437576,RJ,18,M,1,659.8,651.4,653,887.7,920,4,O,B
160000437577,SP,19,F,1,548.4,576.8,511.6,421.2,600,3,C,A
160000437578,CE,21,M,2,,,,,,8,C,B
160008374683,CE,36,M,3,632.6,718.2,636.8,566.2,720,3,E,B
160000437579,BA,21,F,2,,,,,,2,C,B
160000437580,RS,20,M,1,,,,,,5,G,B
160000437581,BA,24,M,3,716.4,760.6,614.1,829.5,960,3,N,B
160000437582,SP,20,M,1,447.1,583.3,520.9,351.1,640,5,D,B
160000437583,MA,22,F,1,520.5,513.8,452.9,531.3,420,2,B,A
160000437584,RN,25,F,3,,,,,,8,D,B
160000437585,CE,27,M,1,516.9,407,502.7,684.8,600,5,D,B
160000437586,ES,23,F,1,,,,,,3,F,B
160000437587,SP,23,M,1,582.4,637.9,621.1,665.5,540,5,H,B
160000437588,RJ,22,F,1,,,,,,3,C,B
160000437589,MG,21,F,3,,,,,,4,D,A
160000437590,RJ,22,F,1,579.8,633.6,601.1,626.7,760,4,C,B
160000437591,MG,19,M,3,578.5,571.2,577.3,549.1,520,3,G,B
160000437592,PA,25,F,3,,,,,,2,E,A
160000437593,SP,16,F,1,403.1,553.4,515.4,627.3,600,4,G,B
160000437594,SP,19,M,1,538.8,558.6,543.1,468.2,620,3,C,B
160000437595,MG,26,F,2,,,,,,5,H,B
160000437596,MG,23,M,5,414.9,553.5,574.7,583.5,320,5,C,B
160000437597,SP,24,M,3,404,549,435.4,645.6,520,3,F,A
160000437598,BA,18,F,3,420.4,479.4,461.8,516.4,520,5,C,B
160000437599,SP,28,F,1,659.4,666.2,627.4,712.1,800,1,H,B
160000437600,SP,18,F,1,506.5,558.7,506.6,608.3,440,2,D,B
160000437601,PR,43,M,3,,,,,,3,N,B
160000437602,RS,32,F,1,412.1,440.5,441.9,511.4,360,5,E,A
160000437603,RJ,31,F,2,484.4,599.7,526.1,584.8,700,3,D,B
160000437604,RS,23,M,1,593.9,629,580,406.3,760,1,D,B
160000437605,GO,18,F,1,496.3,549.7,566.3,393,720,3,C,B
160000437606,RS,18,F,1,460.1,472,478.5,549.4,400,4,C,A
160000437607,SE,23,F,3,443.6,603.4,593.2,586.8,600,4,C,B
160000437608,MG,21,F,1,,,,,,5,E,B
160000437609,BA,30,F,2,659.6,652.4,636.2,625.6,780,5,H,B
160000437610,PR,20,M,1,701,636,585.6,769.2,680,4,I,B
160000437611,MG,26,M,3,,,,,,4,C,B
160000437612,SP,18,F,3,662.5,633.1,607.7,576.3,500,4,O,B
160000437613,AL,22,F,3,,,,,,3,D,B
160000437614,BA,18,F,3,630.3,610.4,610.7,528.3,860,5,B,A
160000437615,RJ,42,F,1,,,,,,3,C,B
160000437616,MA,42,M,3,423.5,477.3,475.3,462.2,480,4,C,A
160000437617,BA,27,F,3,435.2,578.3,509.6,633.3,620,2,F,B
160000437618,RS,28,M,1,,,,,,5,C,B
160000437619,AL,22,M,1,,,,,,3,D,B
160000440906,RN,20,M,3,,,,,,4,C,B
160000440907,PE,22,M,1,589,638.8,596.7,576.3,640,3,C,B
160000440908,RS,18,F,1,416,499.1,469.4,482.6,600,3,C,B
160000440909,SC,25,F,1,459.1,617,509.4,579.1,480,3,E,B
160000440910,BA,20,M,3,556.7,494.5,552.6,717.2,540,3,B,A
160000440911,RS,27,F,2,386.7,537.7,554.3,494,620,2,C,A
160000440912,PR,17,F,1,627.8,583.4,523.6,602.9,580,4,L,B
